Date,India,US,UK,China,Italy
30-01-2020,41380.14,3256.449951,7382,3037.951904,"23,781.10"
31-01-2020,41146.56,3282.330078,7382,3037.951904,"23,237.03"
01-02-2020,40753.18,3282.33,7382,3037.951904,"23,237.03"
02-02-2020,40753.18,3282.33,7286,3037.951904,"23,237.03"
03-02-2020,39701.02,3235.659912,7326.299805,2716.697998,"23,460.01"
04-02-2020,40178.74,3280.610107,7439.799805,2685.269043,"23,844.85"
05-02-2020,40921.71,3324.909912,7482.5,2792.371094,"24,236.63"
06-02-2020,41209.13,3344.919922,7504.799805,2826.889893,"24,490.35"
07-02-2020,41394.41,3335.540039,7504.799805,2858.929932,"24,478.32"
08-02-2020,41394.41,3335.54,7504.799805,2858.929932,"24,478.32"
09-02-2020,41394.41,3335.54,7466.700195,2858.929932,"24,478.32"
10-02-2020,41166.72,3318.280029,7446.899902,2860.499023,"24,507.70"
11-02-2020,41183.39,3365.870117,7499.399902,2894.540039,"24,688.89"
12-02-2020,41330.85,3370.5,7534.399902,2895.555908,"24,861.28"
13-02-2020,41707.21,3365.899902,7452,2927.144043,"24,892.15"
14-02-2020,41510.19,3378.080078,7452,2899.865967,"24,867.01"
15-02-2020,41510.19,3378.08,7452,2899.865967,"24,867.01"
16-02-2020,41510.19,3378.08,7409.100098,2899.865967,"24,867.01"
17-02-2020,41324.04,3378.08,7433.299805,2924.990967,"25,120.54"
18-02-2020,41042.46,3369.040039,7382,2981.409912,"25,223.51"
19-02-2020,41121.51,3380.389893,7457,2979.521973,"25,477.55"
20-02-2020,41334.96,3380.449951,7436.600098,2981.879883,"25,080.16"
21-02-2020,41334.96,3360.5,7436.600098,3022.246094,24773.15
22-02-2020,41334.96,3360.5,7436.600098,3022.246094,24773.15
23-02-2020,41334.96,3360.5,7403.899902,3022.246094,24773.15
24-02-2020,41037.01,3257.610107,7156.799805,3027.893066,23427.19
25-02-2020,40497.72,3238.939941,7017.899902,2982.070068,23090.44
26-02-2020,40194.89,3139.899902,7042.5,2987.928955,23422.54
27-02-2020,39947.8,3062.540039,6796.399902,2992.48999,22799.37
28-02-2020,39087.47,2916.899902,6796.399902,2924.641113,21984.21
29-02-2020,39087.47,2916.9,6796.399902,2924.641113,21984.21
01-03-2020,39087.47,2916.9,6580.600098,2924.641113,21984.21
02-03-2020,38910.95,2974.280029,6654.899902,2899.310059,21655.09
03-03-2020,38480.89,3096.459961,6718.200195,3006.888916,21748.2
04-03-2020,38715.72,3045.75,6815.600098,2981.805908,21946.03
05-03-2020,38604.25,3075.699951,6705.399902,3036.155029,21554.88
06-03-2020,37613.96,2954.199951,6705.399902,3039.939941,20799.89
07-03-2020,37613.96,2954.2,6705.399902,3039.939941,20799.89
08-03-2020,37613.96,2954.2,6462.600098,3039.939941,20799.89
09-03-2020,36950.2,2863.889893,5965.799805,2987.180908,18475.91
11-03-2020,35468.9,2813.47998,5960.200195,2918.935059,17870.18
12-03-2020,34472.5,2825.600098,5876.5,3001.761963,17928.64
13-03-2020,31214.13,2630.860107,5237.5,2936.016113,14894.44
14-03-2020,31214.13,2569.98999,5237.5,2804.231934,15954.29
15-03-2020,31214.13,2569.99,5237.5,2804.231934,15954.29
16-03-2020,33103.24,2569.99,5366.100098,2804.231934,15954.29
17-03-2020,31611.57,2508.590088,5151.100098,2897.301025,14980.34
18-03-2020,30968.84,2425.659912,5294.899902,2796.283936,15314.77
19-03-2020,27773.36,2436.5,5080.600098,2792.322021,15120.48
20-03-2020,28460.82,2393.47998,5151.600098,2719.406006,15466.97
21-03-2020,28460.82,2431.939941,5151.600098,2727.019043,15731.85
22-03-2020,28460.82,2431.94,5151.600098,2727.019043,15731.85
23-03-2020,27608.8,2431.94,5190.799805,2727.019043,15731.85
24-03-2020,27056.23,2290.709961,4993.899902,2677.590088,15559.8
25-03-2020,26499.81,2344.439941,5446,2703.019043,16948.6
26-03-2020,29073.71,2457.77002,5688.200195,2775.302979,17243.68
27-03-2020,30747.81,2501.290039,5815.700195,2761.895996,17369.38
28-03-2020,30747.81,2555.870117,5815.700195,2792.983887,16822.59
29-03-2020,30747.81,2555.87,5815.700195,2792.983887,16822.59
30-03-2020,29226.55,2555.87,5510.299805,2792.983887,16822.59
31-03-2020,29294.94,2558.97998,5563.700195,2739.718994,16872.41
01-04-2020,29505.33,2614.689941,5672,2767.306885,17050.94
02-04-2020,29505.33,2498.080078,5454.600098,2743.541016,16544.97
03-04-2020,28623.53,2458.540039,5480.200195,2720.228027,16834.03
04-04-2020,28623.53,2514.919922,5480.200195,2773.575928,16384.35
05-04-2020,28623.53,2514.92,5480.200195,2773.575928,16384.35
06-04-2020,28623.53,2514.92,5415.5,2773.575928,16384.35
07-04-2020,28898.36,2578.280029,5582.399902,2773.575928,17039.31
08-04-2020,29701.92,2738.649902,5704.5,2806.968018,17411.72
09-04-2020,30571.19,2685,5677.700195,2805.916992,17380.82
10-04-2020,30571.19,2776.98999,5677.700195,2825.839111,17621.62
11-04-2020,30571.19,2776.99,5677.700195,2827.187012,17621.62
12-04-2020,30571.19,2776.99,5677.700195,2827.187012,17621.62
13-04-2020,31195.72,2776.99,5677.700195,2827.187012,17621.62
15-04-2020,31277.11,2782.459961,5842.700195,2784.5979,17621.62
16-04-2020,30095.51,2805.100098,5791.299805,2794.801025,17558.43
17-04-2020,31656.68,2795.639893,5597.700195,2826.662109,16719.07
18-04-2020,31656.68,2799.340088,5628.399902,2798.429932,16768.14
19-04-2020,31656.68,2842.429932,5628.399902,2835.558105,17055.47
20-04-2020,32056.19,2842.43,5628.399902,2835.558105,17055.47
21-04-2020,30836.19,2842.43,5787,2835.558105,17055.47
22-04-2020,30856.14,2845.620117,5812.799805,2840.408936,17064.14
23-04-2020,31646.45,2784.810059,5641,2842.237061,16450.85
24-04-2020,31426.62,2787.889893,5770.600098,2814.065918,16765.28
25-04-2020,31426.62,2810.419922,5826.600098,2850.51001,17011.11
26-04-2020,31426.62,2812.639893,5826.600098,2834.938965,16858.89
27-04-2020,31659.04,2812.64,5826.600098,2834.938965,16858.89
28-04-2020,32101.91,2812.64,5752.200195,2834.938965,16858.89
29-04-2020,32311.04,2854.649902,5846.799805,2812.241943,17380.21
30-04-2020,33381.19,2909.959961,5958.5,2819.990967,17677.15
